
1682145423323 :: getCall ::  :: 1682145423323 :: 
1682148597372 :: orderBook ::  :: 1682148597562 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148597567 :: orderBook ::  :: 1682148597763 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148597766 :: orderBook ::  :: 1682148597963 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148597966 :: orderBook ::  :: 1682148598162 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148598165 :: orderBook ::  :: 1682148598329 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148598332 :: orderBook ::  :: 1682148598522 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148598524 :: orderBook ::  :: 1682148598697 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148598701 :: orderBook ::  :: 1682148598868 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148598871 :: orderBook ::  :: 1682148599047 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148599050 :: orderBook ::  :: 1682148599226 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148599229 :: orderBook ::  :: 1682148599412 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148599416 :: orderBook ::  :: 1682148599605 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148599609 :: orderBook ::  :: 1682148600388 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148600391 :: orderBook ::  :: 1682148600553 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148600556 :: orderBook ::  :: 1682148600744 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148600748 :: orderBook ::  :: 1682148600920 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148600924 :: orderBook ::  :: 1682148602098 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148602102 :: orderBook ::  :: 1682148602312 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148602315 :: orderBook ::  :: 1682148602487 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148602490 :: orderBook ::  :: 1682148602661 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148602664 :: orderBook ::  :: 1682148602843 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148602846 :: orderBook ::  :: 1682148603054 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

